index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,Day_of_Week,Is_Holiday,tempmax,tempmin,feelslike,humidity,precip
0,강남구,1714,4472513.67,41761,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
1,강동구,2981,5489570.74,55195,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
2,강북구,720,1488861.26,12722,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
3,강서구,5632,8550428.86,73219,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
4,관악구,1534,3115409.31,26090,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
5,광진구,2989,5544584.61,52020,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
6,구로구,1950,3744875.13,33488,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
7,금천구,1042,1958554.89,16673,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
8,노원구,3216,6173680.78,54535,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
9,도봉구,1076,2328081.86,20471,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
10,동대문구,2175,4298912.63,39733,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
11,동작구,1165,2540386.15,22682,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
12,마포구,2753,5734278.48,57024,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
13,서대문구,1154,2777449.71,22612,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
14,서초구,1730,4080898.33,37791,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
15,성동구,2463,5666109.88,50851,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
16,성북구,1399,3110946.67,27355,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
17,송파구,6335,12235291.95,119671,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
18,양천구,3126,5432041.01,50279,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
19,영등포구,4768,9238249.81,87861,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
20,용산구,1113,2767921.41,24635,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
21,은평구,1260,2541190.41,22056,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
22,종로구,2097,3590369.38,38561,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
23,중구,1491,2870392.29,29351,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
24,중랑구,1641,3164477.42,28167,2022-08-02,Tuesday,False,28.5,25.2,29.0,89.0,51.738
