index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,tempmax,tempmin,feelslike,humidity
0,강남구,2496,7160302.3,64540,2023-07-22,31.6,24.6,29.9,73.1
1,강동구,3988,7747011.93,78906,2023-07-22,31.6,24.6,29.9,73.1
2,강북구,1416,3164132.7,27014,2023-07-22,31.6,24.6,29.9,73.1
3,강서구,9097,15450225.51,140130,2023-07-22,31.6,24.6,29.9,73.1
4,관악구,2508,5879635.76,48948,2023-07-22,31.6,24.6,29.9,73.1
5,광진구,4543,9696330.14,84611,2023-07-22,31.6,24.6,29.9,73.1
6,구로구,3202,6991075.19,59262,2023-07-22,31.6,24.6,29.9,73.1
7,금천구,1235,2790415.85,24285,2023-07-22,31.6,24.6,29.9,73.1
8,노원구,5736,11772323.35,101542,2023-07-22,31.6,24.6,29.9,73.1
9,도봉구,2019,4676486.16,39485,2023-07-22,31.6,24.6,29.9,73.1
10,동대문구,3208,7291580.31,66086,2023-07-22,31.6,24.6,29.9,73.1
11,동작구,1797,4636270.59,38576,2023-07-22,31.6,24.6,29.9,73.1
12,마포구,3898,10536069.6,94763,2023-07-22,31.6,24.6,29.9,73.1
13,서대문구,1669,4331285.74,35581,2023-07-22,31.6,24.6,29.9,73.1
14,서초구,2328,6687790.39,55347,2023-07-22,31.6,24.6,29.9,73.1
15,성동구,2816,7797986.22,67191,2023-07-22,31.6,24.6,29.9,73.1
16,성북구,2266,5132183.8,42292,2023-07-22,31.6,24.6,29.9,73.1
17,송파구,7448,16355805.24,155187,2023-07-22,31.6,24.6,29.9,73.1
18,양천구,5341,9670877.84,91272,2023-07-22,31.6,24.6,29.9,73.1
19,영등포구,6445,13823962.08,130742,2023-07-22,31.6,24.6,29.9,73.1
20,용산구,1716,4658259.94,38577,2023-07-22,31.6,24.6,29.9,73.1
21,은평구,2396,4959052.86,45452,2023-07-22,31.6,24.6,29.9,73.1
22,종로구,2564,4983844.09,49470,2023-07-22,31.6,24.6,29.9,73.1
23,중구,1584,3379780.65,36128,2023-07-22,31.6,24.6,29.9,73.1
24,중랑구,3042,6399802.87,54410,2023-07-22,31.6,24.6,29.9,73.1
