index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,Day_of_Week,Is_Holiday,tempmax,tempmin,feelslike,humidity,precip
0,강남구,6387,22328619.05,172738,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
1,강동구,7411,16309730.13,147143,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
2,강북구,2608,6675147.82,57182,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
3,강서구,20362,38198299.05,316005,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
4,관악구,4270,11766767.16,93096,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
5,광진구,8892,21855239.67,188109,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
6,구로구,7131,18988521.86,146774,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
7,금천구,3272,8737803.81,61752,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
8,노원구,10931,24450843.19,203019,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
9,도봉구,3723,9236369.45,75967,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
10,동대문구,6699,16777696.36,140678,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
11,동작구,3610,10958541.89,86095,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
12,마포구,9281,27692197.11,229030,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
13,서대문구,3597,11038986.55,84167,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
14,서초구,5540,18692596.04,145226,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
15,성동구,7616,24496229.59,193264,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
16,성북구,4638,11685088.12,93797,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
17,송파구,16261,38507290.3,336303,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
18,양천구,9460,20499424.82,177340,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
19,영등포구,15218,42795035.5,350357,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
20,용산구,3734,12642839.96,97507,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
21,은평구,4199,10140360.01,85556,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
22,종로구,6880,15303199.11,141646,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
23,중구,4666,11676067.1,102207,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
24,중랑구,4970,11849805.29,96036,2023-05-02,Tuesday,False,23.6,9.2,16.4,41.4,0.0
