index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,tempmax,tempmin,feelslike,humidity
0,강남구,662,1567671.36,14731,2023-09-26,20.7,18.7,19.9,94.8
1,강동구,1216,2030394.27,19188,2023-09-26,20.7,18.7,19.9,94.8
2,강북구,312,647457.41,6360,2023-09-26,20.7,18.7,19.9,94.8
3,강서구,3647,5141725.83,48543,2023-09-26,20.7,18.7,19.9,94.8
4,관악구,684,1406139.88,14006,2023-09-26,20.7,18.7,19.9,94.8
5,광진구,1360,2337022.28,23973,2023-09-26,20.7,18.7,19.9,94.8
6,구로구,1266,2371843.66,20621,2023-09-26,20.7,18.7,19.9,94.8
7,금천구,599,1251474.1,10012,2023-09-26,20.7,18.7,19.9,94.8
8,노원구,1725,3054213.63,28868,2023-09-26,20.7,18.7,19.9,94.8
9,도봉구,513,1017297.05,9740,2023-09-26,20.7,18.7,19.9,94.8
10,동대문구,869,1646532.18,15957,2023-09-26,20.7,18.7,19.9,94.8
11,동작구,463,992589.82,8521,2023-09-26,20.7,18.7,19.9,94.8
12,마포구,1198,2623035.38,26585,2023-09-26,20.7,18.7,19.9,94.8
13,서대문구,596,1294781.76,11123,2023-09-26,20.7,18.7,19.9,94.8
14,서초구,578,1282984.89,11000,2023-09-26,20.7,18.7,19.9,94.8
15,성동구,965,1917169.96,19658,2023-09-26,20.7,18.7,19.9,94.8
16,성북구,578,1119826.54,9798,2023-09-26,20.7,18.7,19.9,94.8
17,송파구,2252,4028613.02,39415,2023-09-26,20.7,18.7,19.9,94.8
18,양천구,1904,3148128.38,28673,2023-09-26,20.7,18.7,19.9,94.8
19,영등포구,2288,4040988.11,40912,2023-09-26,20.7,18.7,19.9,94.8
20,용산구,474,1078097.98,10658,2023-09-26,20.7,18.7,19.9,94.8
21,은평구,829,1369720.99,13022,2023-09-26,20.7,18.7,19.9,94.8
22,종로구,826,1615850.58,18135,2023-09-26,20.7,18.7,19.9,94.8
23,중구,546,1065670.06,13688,2023-09-26,20.7,18.7,19.9,94.8
24,중랑구,788,1404778.88,11898,2023-09-26,20.7,18.7,19.9,94.8
