index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,Day_of_Week,Is_Holiday,tempmax,tempmin,feelslike,humidity,precip
0,강남구,5802,18181877.26,149827,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
1,강동구,7376,14884053.08,144475,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
2,강북구,2463,6117475.32,54166,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
3,강서구,22127,37394090.18,326476,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
4,관악구,3823,9752419.58,82385,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
5,광진구,8086,18829585.47,167229,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
6,구로구,6419,15761416.22,125886,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
7,금천구,3011,7160390.09,56945,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
8,노원구,10170,22562971.7,194035,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
9,도봉구,3784,9394440.65,77062,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
10,동대문구,6213,14694776.08,130881,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
11,동작구,3244,9576274.21,78874,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
12,마포구,9023,25883857.19,223682,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
13,서대문구,3576,10679317.45,82963,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
14,서초구,5197,16347316.46,138141,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
15,성동구,6776,19945225.99,169366,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
16,성북구,4126,9906607.03,81717,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
17,송파구,14189,32853153.21,307976,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
18,양천구,9976,19496022.83,182851,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
19,영등포구,13496,33568327.84,305592,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
20,용산구,3494,11565931.81,92621,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
21,은평구,4467,10034405.95,84766,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
22,종로구,6991,14585292.63,145034,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
23,중구,4658,10885142.1,102372,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
24,중랑구,5106,11552343.92,96221,2023-08-25,Friday,False,29.6,24.1,27.7,77.8,0.34
