index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,tempmax,tempmin,feelslike,humidity
0,강남구,3665,12911836.02,106771,2023-08-20,31.6,25.6,30.6,71.4
1,강동구,5380,12906493.98,117864,2023-08-20,31.6,25.6,30.6,71.4
2,강북구,1976,5789991.22,47630,2023-08-20,31.6,25.6,30.6,71.4
3,강서구,13148,27684803.17,229389,2023-08-20,31.6,25.6,30.6,71.4
4,관악구,3694,11205333.72,86564,2023-08-20,31.6,25.6,30.6,71.4
5,광진구,6368,16758009.04,143965,2023-08-20,31.6,25.6,30.6,71.4
6,구로구,4861,13971576.33,106185,2023-08-20,31.6,25.6,30.6,71.4
7,금천구,1718,5259330.47,39928,2023-08-20,31.6,25.6,30.6,71.4
8,노원구,7466,20282225.53,160741,2023-08-20,31.6,25.6,30.6,71.4
9,도봉구,2910,8803719.33,66571,2023-08-20,31.6,25.6,30.6,71.4
10,동대문구,4315,12017694.19,99212,2023-08-20,31.6,25.6,30.6,71.4
11,동작구,2894,9976969.01,76564,2023-08-20,31.6,25.6,30.6,71.4
12,마포구,6621,22876284.8,189500,2023-08-20,31.6,25.6,30.6,71.4
13,서대문구,2663,9534390.84,73805,2023-08-20,31.6,25.6,30.6,71.4
14,서초구,3664,13512138.89,112922,2023-08-20,31.6,25.6,30.6,71.4
15,성동구,4295,15818161.71,123548,2023-08-20,31.6,25.6,30.6,71.4
16,성북구,3021,8527831.83,67478,2023-08-20,31.6,25.6,30.6,71.4
17,송파구,10655,29287287.17,254225,2023-08-20,31.6,25.6,30.6,71.4
18,양천구,7770,17216240.5,153396,2023-08-20,31.6,25.6,30.6,71.4
19,영등포구,9905,28165513.75,249873,2023-08-20,31.6,25.6,30.6,71.4
20,용산구,2753,10014018.63,79618,2023-08-20,31.6,25.6,30.6,71.4
21,은평구,3434,9594421.47,77205,2023-08-20,31.6,25.6,30.6,71.4
22,종로구,3257,7389515.95,67621,2023-08-20,31.6,25.6,30.6,71.4
23,중구,2365,5990027.65,56368,2023-08-20,31.6,25.6,30.6,71.4
24,중랑구,3794,9989760.39,80809,2023-08-20,31.6,25.6,30.6,71.4
