index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,Day_of_Week,Is_Holiday,tempmax,tempmin,feelslike,humidity,precip
0,강남구,5055,18633270.76,143235,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
1,강동구,8239,17668251.69,160237,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
2,강북구,2569,6569487.71,53700,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
3,강서구,21846,43205240.07,350431,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
4,관악구,5053,15282561.67,118008,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
5,광진구,8404,21602800.82,177049,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
6,구로구,7001,19886576.85,149352,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
7,금천구,3343,9489641.62,67727,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
8,노원구,10218,25849653.61,208209,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
9,도봉구,3843,10761049.48,80297,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
10,동대문구,6612,17272882.05,141751,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
11,동작구,3918,12439110.72,98828,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
12,마포구,9651,30514359.66,244765,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
13,서대문구,3783,12300054.27,90243,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
14,서초구,5467,19247207.57,149848,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
15,성동구,6815,22405614.76,172100,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
16,성북구,4516,12566871.4,99254,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
17,송파구,16175,39920715.23,338959,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
18,양천구,10522,22863499.29,198294,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
19,영등포구,14705,42447086.17,351599,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
20,용산구,3861,14203057.28,104436,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
21,은평구,4667,11914361.03,97374,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
22,종로구,6202,14456695.14,134050,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
23,중구,4390,11212903.27,98486,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
24,중랑구,5314,13372617.55,107012,2022-06-22,Wednesday,False,30.6,21.8,26.5,70.5,0.0
