STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE
강남구,4791,12082943.39,105097,2023-11-21
강동구,5612,9870459.92,100515,2023-11-21
강북구,1950,4089524.93,39432,2023-11-21
강서구,18280,27950447.32,243824,2023-11-21
관악구,3169,6292069.87,59370,2023-11-21
광진구,6670,12024960.07,115375,2023-11-21
구로구,6040,12443747.18,103446,2023-11-21
금천구,2922,6057171.37,46572,2023-11-21
노원구,8592,16313616.16,150155,2023-11-21
도봉구,2942,6275088.36,53713,2023-11-21
동대문구,4983,10470928.76,100548,2023-11-21
동작구,2658,6135833.45,50850,2023-11-21
마포구,6335,14731712.57,132617,2023-11-21
서대문구,2793,6735657.04,54507,2023-11-21
서초구,4200,10119666.9,87261,2023-11-21
성동구,5561,12922971.17,117092,2023-11-21
성북구,3442,7007932.82,62181,2023-11-21
송파구,11698,23135125.28,220345,2023-11-21
양천구,8189,14758444.79,136589,2023-11-21
영등포구,12280,25071802.81,229467,2023-11-21
용산구,2689,6900965.78,56788,2023-11-21
은평구,3361,6483709.73,58321,2023-11-21
종로구,5648,10384192.89,103211,2023-11-21
중구,3990,8615115.16,85775,2023-11-21
중랑구,3872,7559911.29,66450,2023-11-21
