index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,Day_of_Week,Is_Holiday,tempmax,tempmin,feelslike,humidity,precip
0,강남구,4741,15379905.76,121355,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
1,강동구,6536,13104051.22,124948,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
2,강북구,2221,5506192.97,49532,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
3,강서구,16096,28200988.42,238313,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
4,관악구,3534,8472644.23,73878,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
5,광진구,7566,17712945.87,153159,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
6,구로구,5853,14558519.98,114397,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
7,금천구,2526,6289570.93,46905,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
8,노원구,9257,20720185.26,174813,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
9,도봉구,3123,7630602.78,64196,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
10,동대문구,5695,14058188.61,117998,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
11,동작구,2867,8177778.1,62992,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
12,마포구,7440,20932072.32,176262,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
13,서대문구,3103,9049327.27,67886,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
14,서초구,4284,13619847.04,109252,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
15,성동구,6330,18624335.2,153048,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
16,성북구,3766,9820455.62,77673,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
17,송파구,14363,31801238.74,285970,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
18,양천구,8062,16036809.63,141978,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
19,영등포구,11957,30120922.69,258221,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
20,용산구,2899,9467878.52,73596,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
21,은평구,3683,8568527.89,70782,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
22,종로구,5080,11008424.04,105512,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
23,중구,3667,9266363.0,84614,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
24,중랑구,4385,9838602.09,79635,2023-03-24,Friday,False,18.1,7.6,12.4,35.5,0.0
