index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,Day_of_Week,Is_Holiday,tempmax,tempmin,feelslike,humidity,precip
0,강남구,4518,13271681.24,108650,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
1,강동구,6952,13235942.1,125626,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
2,강북구,2361,5589047.52,47937,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
3,강서구,20470,33781552.5,292879,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
4,관악구,4104,10107289.68,83610,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
5,광진구,7074,15179336.42,135116,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
6,구로구,6646,15083242.25,122733,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
7,금천구,3262,6919223.55,55346,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
8,노원구,9509,20420145.44,176320,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
9,도봉구,3284,8348658.3,66458,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
10,동대문구,5487,12554172.42,108864,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
11,동작구,3166,8491141.47,70148,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
12,마포구,7578,20154436.18,176655,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
13,서대문구,3063,8654556.54,68276,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
14,서초구,4666,13152036.99,109281,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
15,성동구,5600,14747520.35,126316,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
16,성북구,3626,8472087.8,72012,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
17,송파구,13945,29770321.26,279791,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
18,양천구,10076,18872157.74,175186,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
19,영등포구,14041,31863326.94,288250,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
20,용산구,2854,8343751.19,65115,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
21,은평구,4090,9326092.72,80632,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
22,종로구,5624,10963141.44,107657,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
23,중구,4034,8954208.59,87924,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
24,중랑구,4828,10203337.3,86283,2023-07-21,Friday,False,34.1,24.5,32.2,68.5,0.0
