index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,Day_of_Week,Is_Holiday,tempmax,tempmin,feelslike,humidity,precip
0,강남구,2811,8044310.72,66449,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
1,강동구,4064,7677291.0,71068,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
2,강북구,1440,3082155.94,27029,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
3,강서구,10733,17106699.53,147452,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
4,관악구,2261,4846026.93,43472,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
5,광진구,4182,8431736.02,76338,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
6,구로구,3694,8215785.29,67589,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
7,금천구,1756,3935993.04,30133,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
8,노원구,5423,10896082.55,95991,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
9,도봉구,1938,4351696.22,37804,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
10,동대문구,3222,7521621.97,64124,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
11,동작구,1727,4207174.14,34343,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
12,마포구,4329,10703578.96,97005,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
13,서대문구,1843,5091681.09,39633,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
14,서초구,2729,7282138.3,62648,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
15,성동구,3724,9085325.59,78766,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
16,성북구,2218,5190132.71,44200,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
17,송파구,8796,18034095.99,165051,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
18,양천구,5577,10245775.27,95015,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
19,영등포구,7432,15986366.37,144766,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
20,용산구,1683,4640263.17,37907,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
21,은평구,2269,4659282.18,42103,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
22,종로구,3620,7100276.57,75897,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
23,중구,2589,5629400.18,52885,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
24,중랑구,2526,5641864.44,46582,2023-02-24,Friday,False,8.5,0.6,1.4,59.8,0.0
