index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,tempmax,tempmin,feelslike,humidity
0,강남구,6175,20615093.16,160680,2023-05-30,28.9,20.6,24.2,71.0
1,강동구,7833,17088980.92,155502,2023-05-30,28.9,20.6,24.2,71.0
2,강북구,2760,6869852.22,59305,2023-05-30,28.9,20.6,24.2,71.0
3,강서구,22583,42121662.93,349017,2023-05-30,28.9,20.6,24.2,71.0
4,관악구,4556,12654781.44,96712,2023-05-30,28.9,20.6,24.2,71.0
5,광진구,9056,21092216.55,183205,2023-05-30,28.9,20.6,24.2,71.0
6,구로구,7675,19874744.13,151503,2023-05-30,28.9,20.6,24.2,71.0
7,금천구,3602,9423709.69,66415,2023-05-30,28.9,20.6,24.2,71.0
8,노원구,11621,25900765.15,217018,2023-05-30,28.9,20.6,24.2,71.0
9,도봉구,4035,10525681.36,84329,2023-05-30,28.9,20.6,24.2,71.0
10,동대문구,6910,17954649.59,148558,2023-05-30,28.9,20.6,24.2,71.0
11,동작구,3594,10765441.79,80924,2023-05-30,28.9,20.6,24.2,71.0
12,마포구,8758,26397967.0,216963,2023-05-30,28.9,20.6,24.2,71.0
13,서대문구,3588,11144706.01,82220,2023-05-30,28.9,20.6,24.2,71.0
14,서초구,5585,18251365.38,141757,2023-05-30,28.9,20.6,24.2,71.0
15,성동구,7458,22734414.38,179192,2023-05-30,28.9,20.6,24.2,71.0
16,성북구,4690,11655668.92,92053,2023-05-30,28.9,20.6,24.2,71.0
17,송파구,16828,39611174.1,343227,2023-05-30,28.9,20.6,24.2,71.0
18,양천구,10447,21855385.28,186452,2023-05-30,28.9,20.6,24.2,71.0
19,영등포구,15468,41041182.75,337597,2023-05-30,28.9,20.6,24.2,71.0
20,용산구,3564,12643236.25,90015,2023-05-30,28.9,20.6,24.2,71.0
21,은평구,4670,11497223.15,95498,2023-05-30,28.9,20.6,24.2,71.0
22,종로구,6609,14501870.93,135872,2023-05-30,28.9,20.6,24.2,71.0
23,중구,4812,12216339.78,108257,2023-05-30,28.9,20.6,24.2,71.0
24,중랑구,5734,13597042.81,106941,2023-05-30,28.9,20.6,24.2,71.0
